Benchmark,Min Time (s),Max Time (s),Avg Time (s),Count
139453p0.60.11,895,895,895.0,1
139443p0.60.46,254,254,254.0,1
6s4.60.25,63,63,63.0,1
139462p0.60.5,1364,1364,1364.0,1
6s372rb26.60.58,328,328,328.0,1
6s391rb379.60.4,1466,1466,1466.0,1
139462p0.60.26,1361,1361,1361.0,1
6s391rb379.60.21,1017,1017,1017.0,1
6s362rb1.60.40,517,517,517.0,1
6s372rb26.60.29,313,313,313.0,1
6s275rb318.60.6,2050,2050,2050.0,1
139454p0.60.45,1458,1458,1458.0,1
139443p0.60.38,266,266,266.0,1
139453p0.60.39,1030,1030,1030.0,1
139452p0.60.55,259,259,259.0,1
6s325rb072.60.40,1127,1127,1127.0,1
6s275rb318.60.12,2051,2051,2051.0,1
6s326rb08.60.43,1,3787,1894.0,2
6s159.60.44,20,20,20.0,1
6s326rb08.60.9,7924,7924,7924.0,1
6s326rb08.60.20,4904,4904,4904.0,1
6s43.60.2,2842,2842,2842.0,1
6s317b14.60.35,10162,10162,10162.0,1
6s421rb083.60.56,3055,3055,3055.0,1
6s421rb083.60.11,3136,3136,3136.0,1
139464p0.60.58,4596,4596,4596.0,1
6s159.60.51,20,20,20.0,1
139462p0.60.7,1357,1357,1357.0,1
6s194.60.38,987,987,987.0,1
6s4.60.23,63,63,63.0,1
6s209b0.60.46,4423,4423,4423.0,1
6s326rb08.60.21,3731,3731,3731.0,1
6s43.60.30,4529,4529,4529.0,1
6s421rb083.60.12,3236,3236,3236.0,1
6s421rb083.60.59,3053,3053,3053.0,1
6s372rb26.60.26,308,308,308.0,1
139464p0.60.57,3506,3506,3506.0,1
6s194.60.40,1198,1198,1198.0,1
6s4.60.19,63,63,63.0,1
6s209b0.60.50,4426,4426,4426.0,1
6s372rb26.60.57,320,320,320.0,1
6s391rb379.60.47,1061,1061,1061.0,1
6s391rb379.60.20,1176,1176,1176.0,1
6s362rb1.60.38,499,499,499.0,1
6s372rb26.60.31,297,297,297.0,1
6s275rb318.60.54,2487,2487,2487.0,1
139443p0.60.40,1,270,135.5,2
139454p0.60.51,1511,1511,1511.0,1
139452p0.60.5,252,252,252.0,1
6s275rb318.60.11,2077,2077,2077.0,1
6s421rb083.60.9,2870,2870,2870.0,1
6s421rb083.60.37,3229,3229,3229.0,1
139442p0.60.45,78,78,78.0,1
6s326rb08.60.28,4888,4888,4888.0,1
6s43.60.49,4028,4028,4028.0,1
6s164.60.6,19,19,19.0,1
6s164.60.22,18,18,18.0,1
6s194.60.55,1285,1285,1285.0,1
139464p0.60.32,6696,6696,6696.0,1
6s391rb379.60.32,1135,1135,1135.0,1
6s277rb292.60.44,1941,1941,1941.0,1
6s325rb072.60.15,1509,1509,1509.0,1
6s362rb1.60.23,499,499,499.0,1
139443p0.60.19,1,274,137.5,2
139464p0.60.25,6508,6508,6508.0,1
6s209b0.60.5,3004,3004,3004.0,1
139453p0.60.54,1318,1318,1318.0,1
6s164.60.35,17,17,17.0,1
6s325rb072.60.5,1195,1195,1195.0,1
139452p0.60.2,265,265,265.0,1
6s275rb318.60.33,2272,2272,2272.0,1
139444p0.60.28,560,560,560.0,1
6s277rb292.60.13,1967,1967,1967.0,1
6s391rb379.60.28,1012,1012,1012.0,1
6s317b14.60.9,9355,9355,9355.0,1
139444p0.60.7,455,455,455.0,1
139443p0.60.23,1,269,135.0,2
6s209b0.60.16,4013,4013,4013.0,1
6s209b0.60.55,4270,4270,4270.0,1
139453p0.60.6,1458,1458,1458.0,1
139452p0.60.30,264,264,264.0,1
6s325rb072.60.55,1135,1135,1135.0,1
6s275rb318.60.27,1727,1727,1727.0,1
6s277rb292.60.10,2266,2266,2266.0,1
6s421rb083.60.41,2644,2644,2644.0,1
6s43.60.15,3017,3017,3017.0,1
139442p0.60.51,78,78,78.0,1
6s326rb08.60.32,5271,5271,5271.0,1
6s43.60.48,4277,4277,4277.0,1
6s164.60.54,19,19,19.0,1
6s194.60.5,1331,1331,1331.0,1
6s164.60.1,18,18,18.0,1
139454p0.60.17,1084,1084,1084.0,1
139464p0.60.28,6512,6512,6512.0,1
6s421rb083.60.49,2913,2913,2913.0,1
6s317b14.60.0,9202,9202,9202.0,1
139462p0.60.39,1466,1466,1466.0,1
139442p0.60.40,74,74,74.0,1
139444p0.60.5,476,476,476.0,1
139443p0.60.25,267,267,267.0,1
6s209b0.60.14,3786,3786,3786.0,1
139453p0.60.8,1442,1442,1442.0,1
139464p0.60.19,6071,6071,6071.0,1
6s164.60.27,19,19,19.0,1
6s159.60.20,21,21,21.0,1
6s421rb083.60.43,3102,3102,3102.0,1
6s43.60.17,2920,2920,2920.0,1
6s362rb1.60.4,515,515,515.0,1
139442p0.60.53,79,79,79.0,1
6s317b14.60.56,9696,9696,9696.0,1
6s326rb08.60.34,3770,3770,3770.0,1
139463p0.60.11,1485,1485,1485.0,1
6s194.60.7,1336,1336,1336.0,1
139444p0.60.21,506,506,506.0,1
6s277rb292.60.36,1792,1792,1792.0,1
139454p0.60.15,958,958,958.0,1
6s362rb1.60.47,503,503,503.0,1
139443p0.60.3,1,254,127.5,2
6s317b14.60.59,10385,10385,10385.0,1
139444p0.60.20,507,507,507.0,1
6s164.60.8,19,19,19.0,1
139464p0.60.34,6718,6718,6718.0,1
6s421rb083.60.48,2889,2889,2889.0,1
6s317b14.60.14,8438,8438,8438.0,1
6s391rb379.60.34,1021,1021,1021.0,1
139462p0.60.3,1485,1485,1485.0,1
139442p0.60.38,78,78,78.0,1
6s277rb292.60.42,1924,1924,1924.0,1
6s362rb1.60.25,516,516,516.0,1
6s209b0.60.0,4063,4063,4063.0,1
6s209b0.60.7,3090,3090,3090.0,1
139464p0.60.23,6490,6490,6490.0,1
6s275rb318.60.35,2119,2119,2119.0,1
6s325rb072.60.7,1224,1224,1224.0,1
6s164.60.33,17,17,17.0,1
6s159.60.21,21,21,21.0,1
139462p0.60.46,1484,1484,1484.0,1
139454p0.60.31,1373,1373,1373.0,1
139443p0.60.5,277,277,277.0,1
6s372rb26.60.15,309,309,309.0,1
6s209b0.60.30,4275,4275,4275.0,1
6s159.60.27,20,20,20.0,1
139463p0.60.47,1553,1553,1553.0,1
139452p0.60.52,257,257,257.0,1
139454p0.60.9,1058,1058,1058.0,1
139452p0.60.13,256,256,256.0,1
139444p0.60.3,472,472,472.0,1
139442p0.60.24,73,73,73.0,1
6s277rb292.60.56,2185,2185,2185.0,1
6s159.60.33,20,20,20.0,1
6s209b0.60.2,3165,3165,3165.0,1
6s275rb318.60.53,2500,2500,2500.0,1
139463p0.60.4,1121,1121,1121.0,1
139462p0.60.15,1361,1361,1361.0,1
139452p0.60.10,254,254,254.0,1
139442p0.60.18,78,78,78.0,1
6s4.60.16,62,62,62.0,1
139462p0.60.50,1000,1000,1000.0,1
139454p0.60.29,1389,1389,1389.0,1
6s325rb072.60.9,1,1202,601.5,2
6s159.60.8,20,20,20.0,1
6s362rb1.60.9,506,506,506.0,1
6s317b14.60.42,10961,10961,10961.0,1
6s275rb318.60.21,1793,1793,1793.0,1
6s325rb072.60.31,1098,1098,1098.0,1
6s362rb1.60.18,517,517,517.0,1
139442p0.60.57,78,78,78.0,1
6s275rb318.60.51,1605,1605,1605.0,1
139454p0.60.54,1471,1471,1471.0,1
139453p0.60.2,1299,1299,1299.0,1
139452p0.60.46,255,255,255.0,1
6s159.60.45,20,20,20.0,1
139462p0.60.17,899,899,899.0,1
6s362rb1.60.31,517,517,517.0,1
6s391rb379.60.59,1110,1110,1110.0,1
6s372rb26.60.49,317,317,317.0,1
139462p0.60.52,1007,1007,1007.0,1
6s194.60.29,1135,1135,1135.0,1
6s4.60.14,63,63,63.0,1
139464p0.60.49,5108,5108,5108.0,1
6s164.60.40,21,21,21.0,1
6s159.60.6,20,20,20.0,1
6s421rb083.60.20,3217,3217,3217.0,1
6s326rb08.60.11,7653,7653,7653.0,1
6s43.60.39,5448,5448,5448.0,1
6s317b14.60.44,9176,9176,9176.0,1
6s275rb318.60.42,1,2416,1208.5,2
6s194.60.31,1154,1154,1154.0,1
6s4.60.0,64,64,64.0,1
139462p0.60.54,1,1034,517.5,2
139464p0.60.48,5129,5129,5129.0,1
139443p0.60.7,288,288,288.0,1
6s159.60.54,21,21,21.0,1
6s421rb083.60.21,3197,3197,3197.0,1
6s372rb26.60.17,298,298,298.0,1
6s326rb08.60.12,6159,6159,6159.0,1
6s43.60.3,2975,2975,2975.0,1
6s275rb318.60.20,1762,1762,1762.0,1
6s325rb072.60.29,1375,1375,1375.0,1
139442p0.60.58,75,75,75.0,1
139443p0.60.31,264,264,264.0,1
139453p0.60.30,1339,1339,1339.0,1
139452p0.60.50,259,259,259.0,1
6s362rb1.60.29,516,516,516.0,1
139442p0.60.26,79,79,79.0,1
6s391rb379.60.56,1329,1329,1329.0,1
6s372rb26.60.48,319,319,319.0,1
6s164.60.51,19,19,19.0,1
6s277rb292.60.35,1637,1637,1637.0,1
139464p0.60.41,6677,6677,6677.0,1
6s43.60.58,3064,3064,3064.0,1
139442p0.60.54,79,79,79.0,1
139442p0.60.15,78,78,78.0,1
6s43.60.18,2726,2726,2726.0,1
6s421rb083.60.28,2728,2728,2728.0,1
139453p0.60.19,1049,1049,1049.0,1
6s325rb072.60.50,1174,1174,1174.0,1
139452p0.60.39,265,265,265.0,1
139463p0.60.44,1526,1526,1526.0,1
6s277rb292.60.22,2304,2304,2304.0,1
139443p0.60.0,280,280,280.0,1
139464p0.60.16,6073,6073,6073.0,1
6s325rb072.60.24,1002,1002,1002.0,1
139463p0.60.32,1588,1588,1588.0,1
139453p0.60.45,1427,1427,1427.0,1
6s372rb26.60.41,322,322,322.0,1
6s391rb379.60.41,1266,1266,1266.0,1
6s317b14.60.25,9721,9721,9721.0,1
139453p0.60.23,1289,1289,1289.0,1
6s275rb318.60.36,1863,1863,1863.0,1
139452p0.60.3,265,265,265.0,1
6s325rb072.60.46,1295,1295,1295.0,1
6s277rb292.60.1,2274,2274,2274.0,1
139443p0.60.14,254,254,254.0,1
6s209b0.60.25,3762,3762,3762.0,1
139453p0.60.51,1310,1310,1310.0,1
139463p0.60.28,1598,1598,1598.0,1
6s325rb072.60.18,1510,1510,1510.0,1
6s372rb26.60.37,293,293,293.0,1
6s391rb379.60.17,1089,1089,1089.0,1
6s391rb379.60.37,1292,1292,1292.0,1
6s372rb26.60.9,316,316,316.0,1
6s164.60.45,19,19,19.0,1
6s194.60.50,1277,1277,1277.0,1
6s164.60.10,18,18,18.0,1
139454p0.60.26,1394,1394,1394.0,1
139464p0.60.37,4358,4358,4358.0,1
6s43.60.57,2908,2908,2908.0,1
6s326rb08.60.41,5648,5648,5648.0,1
6s421rb083.60.32,3056,3056,3056.0,1
6s43.60.24,3199,3199,3199.0,1
139453p0.60.25,1221,1221,1221.0,1
6s164.60.36,19,19,19.0,1
6s159.60.11,21,21,21.0,1
139443p0.60.16,269,269,269.0,1
6s209b0.60.23,3651,3651,3651.0,1
139453p0.60.53,1319,1319,1319.0,1
139464p0.60.0,5125,5125,5125.0,1
139462p0.60.2,1433,1433,1433.0,1
139442p0.60.31,78,78,78.0,1
6s391rb379.60.15,1247,1247,1247.0,1
6s326rb08.60.49,4542,4542,4542.0,1
139444p0.60.50,475,475,475.0,1
139453p0.60.9,1401,1401,1401.0,1
139454p0.60.56,1485,1485,1485.0,1
6s194.60.52,1283,1283,1283.0,1
139444p0.60.12,519,519,519.0,1
6s277rb292.60.27,2266,2266,2266.0,1
139454p0.60.24,1400,1400,1400.0,1
6s194.60.26,1145,1145,1145.0,1
139463p0.60.20,1190,1190,1190.0,1
6s317b14.60.47,10062,10062,10062.0,1
6s421rb083.60.34,3021,3021,3021.0,1
6s362rb1.60.59,498,498,498.0,1
6s43.60.26,3447,3447,3447.0,1
139444p0.60.11,450,450,450.0,1
6s164.60.53,19,19,19.0,1
139464p0.60.43,6710,6710,6710.0,1
6s277rb292.60.33,1626,1626,1626.0,1
139454p0.60.18,1079,1079,1079.0,1
139463p0.60.21,1177,1177,1177.0,1
6s317b14.60.4,9520,9520,9520.0,1
139442p0.60.17,78,78,78.0,1
6s362rb1.60.56,533,533,533.0,1
139463p0.60.42,1478,1478,1478.0,1
6s325rb072.60.52,1298,1298,1298.0,1
6s275rb318.60.44,2422,2422,2422.0,1
6s209b0.60.19,4061,4061,4061.0,1
139463p0.60.34,1015,1015,1015.0,1
6s325rb072.60.26,1373,1373,1373.0,1
139464p0.60.14,6063,6063,6063.0,1
6s372rb26.60.43,314,314,314.0,1
139462p0.60.30,1449,1449,1449.0,1
139442p0.60.29,78,78,78.0,1
6s326rb08.60.48,5938,5938,5938.0,1
139444p0.60.46,471,471,471.0,1
6s317b14.60.23,9434,9434,9434.0,1
139454p0.60.59,1,1385,693.0,2
6s391rb379.60.43,1019,1019,1019.0,1
6s362rb1.60.48,499,499,499.0,1
6s317b14.60.58,9672,9672,9672.0,1
139463p0.60.13,1506,1506,1506.0,1
6s164.60.7,19,19,19.0,1
139454p0.60.0,1425,1425,1425.0,1
139464p0.60.35,6713,6713,6713.0,1
6s421rb083.60.47,3017,3017,3017.0,1
6s391rb379.60.35,1032,1032,1032.0,1
139442p0.60.39,78,78,78.0,1
6s277rb292.60.41,1594,1594,1594.0,1
139462p0.60.40,1486,1486,1486.0,1
139444p0.60.54,459,459,459.0,1
6s362rb1.60.26,500,500,500.0,1
6s209b0.60.8,3083,3083,3083.0,1
139464p0.60.24,6495,6495,6495.0,1
6s164.60.32,17,17,17.0,1
6s325rb072.60.8,1107,1107,1107.0,1
6s275rb318.60.34,2091,2091,2091.0,1
6s159.60.22,21,21,21.0,1
6s421rb083.60.4,3183,3183,3183.0,1
6s277rb292.60.37,1624,1624,1624.0,1
139442p0.60.3,79,79,79.0,1
139462p0.60.38,968,968,968.0,1
139444p0.60.6,472,472,472.0,1
139443p0.60.26,268,268,268.0,1
6s209b0.60.15,4051,4051,4051.0,1
139464p0.60.18,6071,6071,6071.0,1
139453p0.60.7,1459,1459,1459.0,1
6s164.60.28,19,19,19.0,1
139444p0.60.35,472,472,472.0,1
6s159.60.1,21,21,21.0,1
6s362rb1.60.49,514,514,514.0,1
6s43.60.16,2905,2905,2905.0,1
6s421rb083.60.44,3161,3161,3161.0,1
6s317b14.60.57,9791,9791,9791.0,1
139442p0.60.52,74,74,74.0,1
6s326rb08.60.35,4398,4398,4398.0,1
139463p0.60.10,1494,1494,1494.0,1
139444p0.60.22,511,511,511.0,1
6s194.60.8,1326,1326,1326.0,1
139454p0.60.14,1371,1371,1371.0,1
6s391rb379.60.27,1156,1156,1156.0,1
6s325rb072.60.0,1135,1135,1135.0,1
139444p0.60.8,456,456,456.0,1
139443p0.60.24,269,269,269.0,1
6s209b0.60.17,4091,4091,4091.0,1
6s326rb08.60.58,4952,4952,4952.0,1
139463p0.60.36,1145,1145,1145.0,1
6s275rb318.60.28,1710,1710,1710.0,1
6s325rb072.60.54,1088,1088,1088.0,1
139452p0.60.31,251,251,251.0,1
6s277rb292.60.11,2187,2187,2187.0,1
6s43.60.14,2928,2928,2928.0,1
6s421rb083.60.42,2659,2659,2659.0,1
139442p0.60.50,78,78,78.0,1
6s326rb08.60.33,7477,7477,7477.0,1
6s43.60.47,4277,4277,4277.0,1
6s164.60.20,18,18,18.0,1
6s194.60.6,1350,1350,1350.0,1
139454p0.60.16,961,961,961.0,1
6s421rb083.60.36,3160,3160,3160.0,1
6s43.60.0,2980,2980,2980.0,1
139442p0.60.46,73,73,73.0,1
6s326rb08.60.27,4567,4567,4567.0,1
6s43.60.4,2947,2947,2947.0,1
6s194.60.54,1294,1294,1294.0,1
6s164.60.21,18,18,18.0,1
139464p0.60.33,6711,6711,6711.0,1
6s317b14.60.17,9950,9950,9950.0,1
6s391rb379.60.33,1069,1069,1069.0,1
6s325rb072.60.14,1432,1432,1432.0,1
6s277rb292.60.43,1952,1952,1952.0,1
6s362rb1.60.24,520,520,520.0,1
6s317b14.60.27,9752,9752,9752.0,1
139443p0.60.18,273,273,273.0,1
6s326rb08.60.57,4459,4459,4459.0,1
139453p0.60.55,1328,1328,1328.0,1
139464p0.60.26,6528,6528,6528.0,1
6s209b0.60.6,3095,3095,3095.0,1
6s275rb318.60.32,2277,2277,2277.0,1
139452p0.60.29,266,266,266.0,1
6s325rb072.60.6,1117,1117,1117.0,1
139444p0.60.27,560,560,560.0,1
6s164.60.34,18,18,18.0,1
6s277rb292.60.12,1995,1995,1995.0,1
6s43.60.31,3841,3841,3841.0,1
6s326rb08.60.22,5156,5156,5156.0,1
6s372rb26.60.25,309,309,309.0,1
6s421rb083.60.58,3028,3028,3028.0,1
6s421rb083.60.13,3214,3214,3214.0,1
139464p0.60.56,6103,6103,6103.0,1
6s159.60.46,20,20,20.0,1
139443p0.60.53,285,285,285.0,1
6s4.60.18,63,63,63.0,1
6s194.60.3,1165,1165,1165.0,1
6s209b0.60.51,4425,4425,4425.0,1
6s391rb379.60.48,1234,1234,1234.0,1
6s372rb26.60.56,321,321,321.0,1
6s391rb379.60.1,1201,1201,1201.0,1
6s372rb26.60.30,313,313,313.0,1
6s362rb1.60.39,502,502,502.0,1
139454p0.60.50,1513,1513,1513.0,1
6s275rb318.60.55,2482,2482,2482.0,1
139452p0.60.6,272,272,272.0,1
139453p0.60.40,1023,1023,1023.0,1
6s275rb318.60.10,2068,2068,2068.0,1
6s325rb072.60.39,1071,1071,1071.0,1
6s362rb1.60.14,516,516,516.0,1
6s391rb379.60.49,1459,1459,1459.0,1
6s372rb26.60.59,329,329,329.0,1
139462p0.60.25,1380,1380,1380.0,1
6s391rb379.60.22,1040,1040,1040.0,1
6s372rb26.60.2,313,313,313.0,1
6s362rb1.60.3,500,500,500.0,1
139443p0.60.39,250,250,250.0,1
139454p0.60.46,1517,1517,1517.0,1
6s275rb318.60.5,2054,2054,2054.0,1
139452p0.60.54,251,251,251.0,1
139453p0.60.38,1015,1015,1015.0,1
6s275rb318.60.13,1628,1628,1628.0,1
6s325rb072.60.3,1117,1117,1117.0,1
6s362rb1.60.0,529,529,529.0,1
6s159.60.43,20,20,20.0,1
6s43.60.29,3756,3756,3756.0,1
6s326rb08.60.1,4014,4014,4014.0,1
6s317b14.60.34,10266,10266,10266.0,1
6s421rb083.60.10,3117,3117,3117.0,1
6s421rb083.60.57,2955,2955,2955.0,1
139464p0.60.59,4423,4423,4423.0,1
6s159.60.50,20,20,20.0,1
6s4.60.24,63,63,63.0,1
6s194.60.39,886,886,886.0,1
139462p0.60.8,991,991,991.0,1
6s209b0.60.45,3256,3256,3256.0,1
6s277rb292.60.49,1955,1955,1955.0,1
139462p0.60.45,1480,1480,1480.0,1
139462p0.60.23,1379,1379,1379.0,1
139452p0.60.20,255,255,255.0,1
6s275rb318.60.7,2071,2071,2071.0,1
139463p0.60.58,1187,1187,1187.0,1
6s209b0.60.38,2992,2992,2992.0,1
6s159.60.41,20,20,20.0,1
6s194.60.12,1268,1268,1268.0,1
6s317b14.60.32,8908,8908,8908.0,1
6s372rb26.60.19,313,313,313.0,1
139454p0.60.39,1476,1476,1476.0,1
139453p0.60.10,1438,1438,1438.0,1
6s159.60.52,20,20,20.0,1
139462p0.60.6,1361,1361,1361.0,1
6s4.60.26,63,63,63.0,1
6s194.60.11,1274,1274,1274.0,1
6s317b14.60.28,9851,9851,9851.0,1
6s372rb26.60.23,313,313,313.0,1
139454p0.60.3,1472,1472,1472.0,1
139453p0.60.13,1400,1400,1400.0,1
6s209b0.60.53,4424,4424,4424.0,1
6s277rb292.60.48,1942,1942,1942.0,1
139462p0.60.19,1387,1387,1387.0,1
139452p0.60.21,255,255,255.0,1
139464p0.60.9,4923,4923,4923.0,1
139454p0.60.52,1518,1518,1518.0,1
139463p0.60.57,1544,1544,1544.0,1
139452p0.60.8,293,293,293.0,1
6s4.60.29,63,63,63.0,1
6s159.60.37,20,20,20.0,1
6s209b0.60.40,4350,4350,4350.0,1
6s362rb1.60.16,517,517,517.0,1
