instance,K,tag,growth_class,max_spd,min_spd,last_spd,peak_ratio,n_computed,completeness
intel001,10,linear,sub-exponential,6267,19,234,329.8421052631579,10,complete
shift1add512,10,linear,constant,20,18,19,1.1111111111111112,10,complete
pdtvisvsa16a10,10,linear,exponential,1835,156,1835,11.762820512820513,5,partial
oski15a14b03s,10,linear,exponential,39655,2745,39655,14.446265938069217,2,partial
pdtvisretherrtf1,10,linear,constant,45,38,45,1.1842105263157894,10,complete
texasparsesysp2,10,linear,constant,502,312,502,1.608974358974359,6,partial
pdtvisblackjack1,10,linear,constant,103,103,103,1.0,10,complete
6s309b046,10,exponential,constant,13009,9599,13009,1.3552453380560474,10,complete
oc8051gm98addr,10,linear,constant,910,865,910,1.0520231213872833,10,complete
oc8051gmcadata,10,linear,constant,920,861,920,1.0685249709639955,10,complete
6s385rb444,10,linear,constant,10144,10010,10144,1.0133866133866134,3,partial
nusmvtcasp2,10,linear,sub-exponential,809,201,809,4.024875621890548,2,partial
pdtvisblackjack2,10,linear,constant,103,103,103,1.0,10,complete
qspiflash_dualflexpress_divthree-p164,10,linear,exponential,2860,232,2860,12.327586206896552,4,partial
6s389b02,10,linear,constant,4074,3828,4074,1.0642633228840126,6,partial
6s206rb025,10,linear,constant,30948,25296,30948,1.2234345351043643,4,partial
kenflashp09,10,linear,exponential,405,38,405,10.657894736842104,4,partial
intel061,10,linear,exponential,2915384,133,2898659,21920.18045112782,4,partial
6s355rb11080,10,linear,constant,15042,15039,15039,1.000199481348494,10,complete
power2bit128,10,linear,constant,19,13,13,1.4615384615384615,10,complete
prodcellp0neg,10,linear,exponential,3032,67,645,45.25373134328358,6,partial
bj08aut82,10,linear,constant,3,3,3,1.0,10,complete
pdtviscoherence4,10,linear,exponential,2239,47,329,47.638297872340424,3,partial
neclaftp4002,10,linear,constant,1094,1094,1094,1.0,10,complete
oski15a01b71s,10,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
pdtvisblackjack0,10,linear,constant,103,103,103,1.0,10,complete
viscoherencep2,10,linear,sub-exponential,236,51,236,4.627450980392157,3,partial
6s362rb1,10,linear,constant,1872,1870,1870,1.0010695187165775,10,complete
power2bit8,10,linear,constant,15,9,11,1.6666666666666667,10,complete
6s406rb067,10,linear,constant,14965,10538,14965,1.4200986904535966,2,partial
vis_arrays_am2910_p2,10,linear,sub-exponential,18,6,18,3.0,10,complete
kenflashp03,10,linear,constant,35,32,32,1.09375,10,complete
139464p0,10,linear,exponential,4477,133,4477,33.661654135338345,4,partial
pdtvsarmultip30,10,linear,exponential,609,54,417,11.277777777777779,6,partial
nusmvsyncarb5p2,10,linear,constant,9,5,5,1.8,10,complete
6s342rb131,10,linear,constant,56845,55485,55485,1.024511129134,10,complete
6s372rb26,10,linear,sub-exponential,17507,1044,2136,16.769157088122604,9,partial
oc8051gm2daddr,10,linear,constant,928,867,928,1.0703575547866204,10,complete
dspfilters_fastfir_second-p21,10,linear,sub-exponential,3015,1198,3015,2.51669449081803,2,partial
prodcellp4,10,linear,exponential,856,80,856,10.7,3,partial
pdtvisvsa16a27,10,linear,exponential,13474,157,3115,85.82165605095541,5,partial
bobsmdct,10,linear,sub-exponential,1097,182,729,6.027472527472527,5,partial
pdtvishuffman1,10,linear,constant,28,28,28,1.0,10,complete
bobtuint21neg,10,linear,exponential,5014,208,951,24.10576923076923,4,partial
qspiflash_dualflexpress_divthree-p046,10,linear,exponential,2868,232,2868,12.362068965517242,4,partial
shift1add2048,10,linear,constant,22,20,21,1.1,10,complete
neclaftp1002,10,linear,constant,7880,7880,7880,1.0,10,complete
bj08amba5g62,10,linear,exponential,3624,25,710,144.96,6,partial
6s54,10,exponential,exponential,36523,1636,36523,22.324572127139366,10,complete
bobmiterbm1or,10,linear,constant,1,1,1,1.0,10,complete
bj08amba3g1,10,linear,exponential,2051,29,1208,70.72413793103448,4,partial
oc8051gm7daddr,10,linear,constant,920,860,920,1.069767441860465,10,complete
kenflashp13,10,linear,constant,30,28,28,1.0714285714285714,10,complete
neclaftp2001,10,linear,constant,5031,5031,5031,1.0,10,complete
6s400rb07819,10,linear,constant,14616,14613,14613,1.0002052966536645,10,complete
pdtswvsam6x8p1,10,linear,sub-exponential,981,129,550,7.604651162790698,9,partial
oski15a01b25s,10,linear,sub-exponential,82346,14547,82346,5.660686052106963,2,partial
kenflashp10,10,linear,exponential,706,38,706,18.57894736842105,4,partial
oski3b0i,10,exponential,exponential,330,7,330,47.142857142857146,10,complete
oc8051gm1edata,10,linear,constant,929,860,929,1.080232558139535,10,complete
prodcellp1,10,linear,exponential,2408,67,459,35.940298507462686,6,partial
6s384rb024,10,linear,constant,14302,13546,14302,1.0558098331610808,2,partial
oski15a01b37s,10,linear,sub-exponential,79621,14547,79621,5.4733622052656905,2,partial
oski15a01b55s,10,linear,sub-exponential,76858,14547,76858,5.283426135973053,2,partial
kenflashp07,10,linear,constant,41,40,41,1.025,10,complete
visemodel,10,linear,exponential,14123,9,9769,1569.2222222222222,10,complete
pdtvisminmax0,10,linear,constant,1956333,1902558,1902558,1.0282645785305888,2,partial
pdtvisrethersqo0,10,linear,sub-exponential,780900,33,281,23663.636363636364,10,complete
nusmvreactorp1,10,linear,constant,66,65,65,1.0153846153846153,10,complete
pdtvsar8multip13,10,linear,exponential,1476,119,1476,12.403361344537815,5,partial
eijks713,10,linear,sub-exponential,232,34,232,6.823529411764706,4,partial
pj2018,10,linear,exponential,12472,42,12472,296.95238095238096,2,partial
pdtvsarmultip13,10,linear,exponential,663,57,513,11.631578947368421,6,partial
gen10,10,linear,constant,3978,3227,3227,1.2327238921599009,2,partial
qspiflash_dualflexpress_divfive-p128,10,linear,exponential,2820,233,2820,12.103004291845494,4,partial
oski15a01b10s,10,linear,sub-exponential,58051,14547,58051,3.99058225063587,2,partial
productioncellp0,10,linear,exponential,2408,67,459,35.940298507462686,6,partial
oski15a01b22s,10,linear,sub-exponential,81766,14547,81766,5.62081528837561,2,partial
pdtvisgray0,10,linear,constant,3,2,2,1.5,10,complete
ndista128,10,linear,constant,14,13,13,1.0769230769230769,10,complete
eijks298,10,linear,sub-exponential,139991,51,262,2744.921568627451,8,partial
6s206rb103,10,linear,constant,30948,25296,30948,1.2234345351043643,4,partial
shift1add256,10,linear,constant,19,17,18,1.1176470588235294,10,complete
oc8051gmfbaddr,10,linear,constant,925,867,925,1.0668973471741638,10,complete
oski15a01b79s,10,linear,sub-exponential,80142,14548,80142,5.508798460269452,2,partial
bobcount,10,linear,sub-exponential,39293,12,149,3274.4166666666665,10,complete
vcegar_QF_BV_ar,10,linear,constant,5002,5002,5002,1.0,10,complete
oski15a01b73s,10,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
zipversa_composecrc_prf-p00,10,linear,sub-exponential,21144,5882,5882,3.5946956817409044,3,partial
oski2b4i,10,linear,exponential,99018,7,99018,14145.42857142857,2,partial
pdtvsar8multip23,10,linear,exponential,1472,117,1472,12.581196581196581,5,partial
pj2010,10,linear,exponential,14513,19,14513,763.8421052631579,2,partial
oski15a01b63s,10,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
oski15a14b31s,10,linear,exponential,32485,2745,32485,11.83424408014572,2,partial
nusmvtcastp3,10,linear,sub-exponential,834,202,834,4.128712871287129,2,partial
neclatcas1a001,10,linear,constant,440,390,390,1.1282051282051282,10,complete
139444p0,10,linear,exponential,8440,87,1101,97.01149425287356,4,partial
6s405rb611,10,linear,constant,18089,11665,18089,1.5507072438919847,2,partial
ndista262144,10,linear,constant,25,24,24,1.0416666666666667,10,complete
oski2b2i,10,linear,exponential,110587,7,110587,15798.142857142857,2,partial
6s159,10,linear,sub-exponential,509,239,509,2.1297071129707112,8,partial
6s290,10,linear,constant,13798,13688,13798,1.0080362361192285,10,complete
oski15a01b31s,10,linear,sub-exponential,82346,14547,82346,5.660686052106963,2,partial
bobtuint12neg,10,linear,exponential,5014,208,946,24.10576923076923,4,partial
6s306rb03,10,linear,constant,10194,7702,10194,1.3235523240716698,5,partial
neclaftp5001,10,linear,constant,6,6,6,1.0,10,complete
6s351rb15,10,linear,constant,3863,3715,3715,1.0398384925975774,10,complete
zipversa_composecrc_prf-p17,10,linear,sub-exponential,21143,6001,6001,3.5232461256457257,3,partial
6s380b511,10,linear,constant,6229,5583,6229,1.1157084005015225,2,partial
cmuperiodic,10,linear,constant,34,31,31,1.096774193548387,10,complete
texasifetch1p1,10,linear,exponential,45486,55,1643,827.0181818181818,5,partial
oski15a14b32s,10,linear,exponential,30390,2745,30390,11.07103825136612,2,partial
pdtvisvending09,10,linear,exponential,41707,42,430,993.0238095238095,4,partial
oski15a10b01s,10,linear,sub-exponential,8710,2098,8710,4.151572926596759,2,partial
oski15a01b29s,10,linear,sub-exponential,82346,14547,82346,5.660686052106963,2,partial
zipversa_composecrc_prf-p22,10,linear,sub-exponential,21143,5882,5882,3.5945256715402922,3,partial
pdtvistwoall3,10,linear,constant,26,26,26,1.0,10,complete
bj08amba2g1,10,linear,exponential,11214,21,428,534.0,5,partial
texaspimainp01,10,linear,constant,261,228,261,1.144736842105263,10,complete
6s380b129,10,linear,constant,6238,5583,6238,1.1173204370410175,2,partial
oski15a14b25s,10,linear,exponential,30964,2745,30964,11.280145719489981,2,partial
oski15a01b75s,10,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
bjrb07amba1andenv,10,linear,constant,19,17,17,1.1176470588235294,10,complete
oski15a01b11s,10,linear,sub-exponential,58051,14547,58051,3.99058225063587,2,partial
6s41,10,exponential,constant,1283,921,1283,1.3930510314875135,10,complete
pj2007,10,linear,exponential,12541,20,12541,627.05,2,partial
kenflashp04,10,linear,constant,41,40,41,1.025,10,complete
kenflashp08,10,linear,constant,39,38,39,1.0263157894736843,10,complete
nusmvreactorp3,10,linear,constant,66,65,65,1.0153846153846153,10,complete
qspiflash_dualflexpress_divthree-p143,10,linear,exponential,2847,231,2847,12.324675324675324,4,partial
pdtpmsusbphy,10,linear,sub-exponential,796,175,402,4.548571428571429,4,partial
oski15a01b61s,10,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
oski15a01b27s,10,linear,sub-exponential,82346,14547,82346,5.660686052106963,2,partial
viselevatorp3,10,linear,exponential,598,37,598,16.16216216216216,3,partial
6s391rb379,10,linear,constant,3118,2533,3118,1.2309514409790763,3,partial
oski3b3i,10,linear,exponential,330,7,330,47.142857142857146,10,complete
visprodcellp01,10,linear,exponential,9011,47,258,191.72340425531914,4,partial
bobtuintand,10,linear,exponential,5014,208,936,24.10576923076923,4,partial
neclaftp2002,10,linear,constant,5031,5031,5031,1.0,10,complete
pj2016,10,linear,exponential,64465,50,64465,1289.3,2,partial
bob12s02,10,linear,exponential,49741,229,49741,217.20960698689956,2,partial
6s204b19,10,linear,constant,34062,28434,34062,1.1979320531757756,4,partial
oski15a14b14s,10,linear,exponential,30149,2746,30149,10.979242534595775,2,partial
6s216rb0,10,linear,constant,1108,896,1108,1.2366071428571428,5,partial
pj2003,10,linear,exponential,64106,57,64106,1124.6666666666667,2,partial
6s119,10,exponential,constant,20963,18803,20963,1.1148752858586395,9,partial
cmudme2,10,exponential,sub-exponential,172063,54,290,3186.3518518518517,8,partial
nusmvguidancep1,10,linear,exponential,2053,46,2053,44.630434782608695,2,partial
oski2b5i,10,linear,exponential,112484,7,112484,16069.142857142857,2,partial
qspiflash_dualflexpress_divfive-p022,10,linear,exponential,2823,233,2823,12.11587982832618,4,partial
6s355rb08740,10,linear,constant,15042,15039,15039,1.000199481348494,10,complete
pdtvsarmultip29,10,linear,exponential,616,54,440,11.407407407407407,6,partial
pdtvisvsar22,10,linear,exponential,3785711,55,3785711,68831.10909090909,5,partial
shift1add262144,10,linear,constant,29,27,28,1.0740740740740742,10,complete
qspiflash_dualflexpress_divfive-p054,10,linear,exponential,2820,233,2820,12.103004291845494,4,partial
139442p0,10,linear,exponential,44647,62,1148,720.1129032258065,5,partial
bobmiterbm1and,10,linear,exponential,20850,377,775,55.30503978779841,3,partial
bc57sensorsp1neg,10,exponential,exponential,11619,94,1456,123.6063829787234,6,partial
viselevatorp1,10,linear,exponential,587,37,587,15.864864864864865,3,partial
139443p0,10,linear,sub-exponential,730,75,730,9.733333333333333,4,partial
pdtvisvsa16a16,10,linear,exponential,13473,156,3109,86.36538461538461,5,partial
qspiflash_dualflexpress_divfive-p143,10,linear,exponential,2807,232,2807,12.099137931034482,4,partial
bobtuint19neg,10,linear,exponential,5014,208,951,24.10576923076923,4,partial
oski15a01b17s,10,linear,sub-exponential,63790,14547,63790,4.3850965834880045,2,partial
zipversa_composecrc_prf-p07,10,linear,sub-exponential,21143,5784,5784,3.6554287690179805,3,partial
prodcellp2neg,10,linear,exponential,3032,67,645,45.25373134328358,6,partial
6s307rb09,10,linear,sub-exponential,51122,6582,11228,7.766940139775144,6,partial
6s326rb08,10,linear,constant,3391,3281,3336,1.033526363913441,10,complete
pdtpmsrotate32,10,linear,exponential,18518,65,294,284.89230769230767,3,partial
pdtvsarmultip08,10,linear,exponential,967,54,511,17.90740740740741,6,partial
139452p0,10,linear,exponential,41565,81,1213,513.1481481481482,5,partial
neclaftp4001,10,linear,constant,1094,1094,1094,1.0,10,complete
oski15a01b33s,10,linear,sub-exponential,82346,14547,82346,5.660686052106963,2,partial
6s120,10,linear,exponential,3363,51,3363,65.94117647058823,3,partial
bob9234spec4neg,10,linear,sub-exponential,317,102,317,3.107843137254902,5,partial
qspiflash_qflexpress_divfive-p017,10,linear,exponential,2987,200,2987,14.935,4,partial
6s344rb054,10,linear,constant,11594,10521,11594,1.101986503184108,3,partial
139454p0,10,linear,exponential,3116,112,3116,27.821428571428573,4,partial
intel057,10,linear,sub-exponential,717,195,717,3.6769230769230767,2,partial
oski15a01b23s,10,linear,sub-exponential,82346,14547,82346,5.660686052106963,2,partial
qspiflash_qflexpress_divfive-p038,10,linear,exponential,3001,200,3001,15.005,4,partial
6s344rb150,10,linear,constant,11594,10521,11594,1.101986503184108,3,partial
oski15a01b65s,10,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
139463p0,10,linear,exponential,3166,115,3166,27.530434782608694,4,partial
cal35,10,linear,exponential,2562,2,2562,1281.0,2,partial
oski1rub03i,10,linear,exponential,102021,7,102021,14574.42857142857,2,partial
oski15a01b39s,10,linear,sub-exponential,78623,14548,78623,5.4043854825405555,2,partial
bobsynthand,10,linear,constant,3316,3002,3316,1.1045969353764158,2,partial
zipcpu-busdelay-p43,10,linear,sub-exponential,1592,630,1592,2.526984126984127,2,partial
bc57sensorsp1,10,exponential,sub-exponential,56623,94,544,602.3723404255319,7,partial
oski15a10b13s,10,linear,sub-exponential,8710,2098,8710,4.151572926596759,2,partial
oski15a01b16s,10,linear,sub-exponential,58051,14547,58051,3.99058225063587,2,partial
pdtvisgigamax4,10,linear,sub-exponential,547,62,547,8.82258064516129,2,partial
139462p0,10,linear,exponential,109640,96,37736,1142.0833333333333,6,partial
intel056,10,linear,sub-exponential,713,145,713,4.917241379310345,2,partial
pdtvsar8multip16,10,linear,exponential,1475,116,1475,12.71551724137931,5,partial
oski15a01b05s,10,linear,sub-exponential,80035,14547,80035,5.501821681446346,2,partial
beemelev2f1,10,linear,constant,390942,345277,345277,1.1322561305850085,2,partial
bob9234specand,10,linear,sub-exponential,307,102,307,3.0098039215686274,5,partial
bobtuintorneg,10,linear,exponential,5014,208,936,24.10576923076923,4,partial
